,sectionid,sectionName,date,webTitle,weburl
12,commentisfree,Opinion,2022-01-20 11:00:02+00:00,Britain should stay well out of Russia’s border dispute with Ukraine | Simon Jenkins,https://www.theguardian.com/commentisfree/2022/jan/20/britain-russia-ukraine-border-dispute
13,politics,Politics,2022-02-01 16:00:02+00:00,Nicola Sturgeon urges Johnson to tackle Russian oligarchs’ influence in UK,https://www.theguardian.com/politics/2022/feb/01/nicola-sturgeon-johnson-tackle-russian-oligarchs-influence-uk
14,commentisfree,Opinion,2022-02-01 19:21:47+00:00,The Guardian view on Russia: cracking down on tainted money | Editorial,https://www.theguardian.com/commentisfree/2022/feb/01/the-guardian-view-on-russia-cracking-down-on-tainted-money
15,world,World news,2022-02-02 20:04:25+00:00,Johnson tells Putin invading Ukraine would be ‘tragic miscalculation’,https://www.theguardian.com/world/2022/feb/02/boris-johnson-warns-vladimir-putin-against-tragic-ukraine-invasion-uk-russia
16,world,World news,2022-02-13 08:30:18+00:00,‘Britain called me a collaborator. Why?’ Ukrainian politician Yevhen Murayev hits out,https://www.theguardian.com/world/2022/feb/13/britain-called-me-a-collaborator-why-ukrainian-politician-yevhen-murayev-hits-out
17,world,World news,2022-03-09 15:06:01+00:00,Russian F1 driver added to list of people sanctioned by EU,https://www.theguardian.com/politics/2022/mar/09/eu-imposes-travel-bans-asset-freezes-russians-oligarchs-putin
18,politics,Politics,2022-03-02 17:31:41+00:00,Boris Johnson says he will publish ‘full list of all those associated with the Putin regime’ – UK politics as it happened,https://www.theguardian.com/politics/live/2022/mar/02/russian-invaders-trying-to-switch-tactics-says-uk-defence-secretary-uk-politics-live
19,world,World news,2022-03-01 19:01:12+00:00,Questions raised over time-lag on UK moves to sanction oligarchs,https://www.theguardian.com/world/2022/mar/01/questions-raised-over-time-lag-on-uk-moves-to-sanction-oligarchs
20,politics,Politics,2022-03-03 18:59:21+00:00,Why does the UK seem so slow at acting against Putin’s oligarchs?,https://www.theguardian.com/politics/2022/mar/03/putin-oligarchs-uk-slow-at-acting
21,politics,Politics,2022-03-03 16:20:53+00:00,"UK politics: we must ensure Putin fails, UK foreign secretary says – as it happened",https://www.theguardian.com/politics/live/2022/mar/03/uk-politics-boris-johnson-ukraine-russia-sanctions-latest
22,politics,Politics,2022-02-23 13:33:39+00:00,"Russian TV broadcasts in UK a ‘disinformation campaign’, says Dorries",https://www.theguardian.com/politics/2022/feb/23/russian-tv-broadcasts-in-uk-a-disinformation-campaign-says-dorries
23,world,World news,2022-02-24 12:13:38+00:00,Boris Johnson promises massive sanctions to ‘hobble’ Russian economy,https://www.theguardian.com/world/2022/feb/24/boris-johnson-promises-massive-sanctions-to-hobble-russian-economy
24,commentisfree,Opinion,2022-02-20 09:30:05+00:00,Will the Tories hand back Russian cash as Putin threatens war? | Keir Starmer,https://www.theguardian.com/commentisfree/2022/feb/20/will-the-tories-hand-back-russian-cash-as-putin-threatens-war
25,world,World news,2022-02-28 11:26:32+00:00,What sanctions have been imposed on Russia over Ukraine invasion?,https://www.theguardian.com/world/2022/feb/28/what-sanctions-imposed-on-russia-over-ukraine-invasion-putin
